topic_label,topic_words
Natural Language Processing,"natural, language, processing, text, understanding"
Reinforcement Learning Agents,"reinforcement, agent, environment, reward, policy"
AI Ethics and Fairness,"data, bias, fairness, ethics, transparency"
Knowledge Representation & Logic,"knowledge, representation, reasoning, ontology, logic"
Formal Ontology and Logic,"ontology, logic, semantics, description, reasoning"
Nonmonotonic Reasoning Systems,"nonmonotonic, defeasibility, belief, revision, default"
Structured Representation Formalisms,"rules, production, frames, networks, semantic"
Agent Knowledge and Reasoning,"agent, architecture, intelligent, belief, intention"
Explainable Knowledge Representation,"explainable, interpretability, transparency, symbolic, justification"
Default Logic and Uncertainty,"defeasibility, logic, inference, default, uncertainty"
First-Order Circumscription,"circumscription, minimization, predicate, abnormal, models"
Autoepistemic Logic,"autoepistemic, belief, knowledge, extensions, stable"
Abductive Reasoning Formalisms,"abduction, explanation, hypothesis, diagnostics, evidence"
Belief Revision and Change,"revision, change, contraction, expansion, theory"
Abstract Argumentation Frameworks,"argumentation, semantics, frameworks, attack, justification"
Post-hoc Explainability Methods,"post-hoc, lime, shap, explanation, approximation"
Ethical AI and Trust,"fairness, bias, accountability, ethics, trust"
Causal and Counterfactual Explanations,"counterfactual, recourse, causal, what-if, influence"
Human-Centered XAI,"human, user, interface, evaluation, cognition"
Visual Explanation Techniques,"visual, heatmap, saliency, attention, visualization"
Inference in Commonsense,"inference, nonmonotonic, logic, deduction, abduction"
Temporal and Causal Reasoning,"time, causality, actions, events, planning"
Mental State Reasoning,"beliefs, desires, intentions, emotions, theory"
Data and Benchmarking,"crowdsourcing, human, labeling, evaluation, benchmarks"
First-Order Logic Foundations,"first-order, quantifiers, predicates, logic, semantics"
Knowledge Representation and Inference,"knowledge, representation, reasoning, inference, axioms"
Description Logic Modeling,"classes, roles, individuals, dl, description"
Ontologies for Semantic Web,"semantic, web, owl, rdf, alignment"
Non-Classical and Modal Logics,"modal, temporal, non-monotonic, default, belief"
Automated Reasoning and Proof,"automated, theorem, proving, resolution, unification"
Logic-Based Knowledge Graphs,"graph, data, schema, linked, triple"
Neuro-Symbolic Integration,"neural, symbolic, integration, knowledge, logic"
Automated Reasoning & Planning,"reasoning, automatic, planning, constraints, consistency"
Knowledge Representation,"representation, graph, ontology, facts, rules"
Explainable Neuro-Symbolic AI,"explainable, interpretability, trust, transparency, insights"
Differentiable Logic Programming,"program, synthesis, logic, programming, differentiable"
Neuro-Symbolic Applications,"commonsense, robotics, nlp, vision, application"
Foundational XAI Concepts,"interpretability, transparency, trust, fidelity, auditability"
Model-Agnostic Explainers,"lime, shap, agnostic, local, importance"
Feature Importance & Visualization,"features, relevance, attribution, heatmaps, visualization"
Responsible AI and XAI,"responsible, fairness, bias, governance, ethics"
Causal and Contrastive Explanations,"causality, counterfactual, systems, why, what-if"
Inherently Interpretable Models,"rules, trees, linear, logic, inherent"
Generative Adversarial Networks,"gan, adversarial, generator, discriminator, network"
Transformer-based Models,"transformer, attention, sequence, language, modeling"
Text-to-Image Generation,"text, image, synthesis, multimodal, generation"
Controlled Content Generation,"prompt, engineering, control, conditioning, inputs"
Generative AI Ethics,"ethical, bias, safety, alignment, responsible"
Ontological Knowledge Representation,"ontology, logic, semantics, description, inference"
Nonmonotonic Logic and Belief Revision,"nonmonotonic, defeasible, revision, belief, update"
Commonsense and Qualitative Reasoning,"commonsense, knowledgebase, concept, context, qualitative"
Knowledge Graphs and Semantic Networks,"graph, semantic, network, frame, relationships"
Logic Programming and Deduction,"logic, programming, prolog, rule, deductive"
Automated Reasoning and Theorem Proving,"automated, theorem, proving, satisfiability, solver"
Neuro-Symbolic Integration,"neurosymbolic, integration, neural, logic, hybrid"
Deep Learning Optimization,"gradient, loss, backpropagation, weights, optimization"
Reinforcement Learning Agents,"reinforcement, agent, environment, reward, policy"
Unsupervised Learning Techniques,"unsupervised, clustering, dimensionality, reduction, manifold"
Ethical AI and Fairness,"dataset, bias, fairness, interpretability, ethics"
Convolutional Neural Networks,"convolutional, neural, image, vision, recognition"
Attention Mechanisms in NLP,"transformer, attention, sequence, nlp, language"
Tree-Based Ensemble Methods,"trees, ensemble, boosting, random, forest"
Facial Detection and Alignment,"detection, tracking, alignment, localization, features"
Deep Learning for Recognition,"deep, convolutional, network, learning, embeddings"
Robustness to Face Variations,"illumination, pose, occlusion, robustness, variations"
Age-Invariant Recognition,"age, invariance, cross-age, aging, progression"
Facial Expression and Emotion,"expression, emotion, analysis, behavioral, dynamic"
Biometric Security and Liveness,"biometric, verification, identification, liveness, spoofing"
Supervised Pattern Classification,"classification, features, training, testing, model"
Unsupervised Data Clustering,"clustering, unsupervised, similarity, distance, groups"
Deep Learning Techniques,"deep, networks, convolutional, recurrent, learning"
Visual Pattern Recognition,"image, pixels, segmentation, object, detection"
Acoustic Pattern Analysis,"speech, audio, voice, recognition, signal"
Temporal Sequence Mining,"sequential, temporal, series, dynamics, prediction"
Feature Engineering & Reduction,"feature, extraction, selection, dimensionality, reduction"
Digital Signal Processing Fundamentals,"digital, sampling, quantization, filtering, transforms"
Audio & Speech Signal Processing,"audio, speech, acoustic, music, compression"
Image and Video Processing,"image, video, processing, segmentation, computer"
Wireless Communications Signal Processing,"wireless, communication, channel, mimo, waveform"
Time-Frequency Spectral Analysis,"time, frequency, analysis, spectral, estimation"
Signal Processing via AI/ML,"machine, learning, deep, neural, algorithms"
Sensor Array Signal Processing,"sensor, array, radar, detection, estimation"
Deep Neural Networks,"neural, networks, deep, learning, model"
Reinforcement Learning Agents,"reinforcement, agent, reward, policy, environment"
Natural Language Processing,"language, natural, processing, semantics, text"
Image Recognition & Vision,"computer, vision, image, detection, recognition"
Knowledge Representation Logic,"logic, knowledge, reasoning, representation, ontology"
Explainable AI (XAI),"explainable, interpretability, transparency, xai, feature"
Human Memory Processes,"memory, encoding, retrieval, working, long-term"
Sensory Perception and Processing,"perception, sensory, processing, visual, auditory"
Language and Communication,"language, comprehension, production, linguistics, semantics"
Decision Making and Judgment,"decision, making, rationality, heuristics, judgment"
Attention and Cognitive Control,"attention, selective, sustained, executive, control"
Problem Solving and Reasoning,"problem, solving, reasoning, logic, deduction"
Computational Neuroscience Modeling,"neural, networks, computation, brain, modeling"
Multi-Agent Systems,"agent, multiagent, coordination, negotiation, interaction"
Autonomous Agent Planning,"planning, reasoning, goal, environment, deliberation"
Responsible Agentic AI,"safety, alignment, ethics, governance, responsible"
LLM-Powered Agents,"llm, tool, memory, orchestration, chaining"
Agent Learning & Adaptation,"learning, adaptation, reinforcement, evolution, self-improving"
Human-Agent Interaction,"human-agent, collaboration, trust, interface, teaming"
Agentic Problem Solving,"exploration, search, problem, solving, action"
Structural Mapping and Transfer,"mapping, structure, relations, similarity, transfer"
Analogical Problem Solving,"problem, solving, retrieval, source, target"
Metaphor and Conceptual Analogy,"metaphor, conceptual, language, figurative, creativity"
Analogical AI Systems,"ai, reasoning, models, computational, systems"
Justification of Analogical Reasoning,"justification, induction, deduction, argument, epistemology"
Analogy in Scientific Discovery,"scientific, discovery, model, hypothesis, innovation"
Digital Ink Processing,"digital, ink, strokes, segmentation, gestures"
Template-Based Recognition,"template, matching, primitive, feature, geometric"
Model Evaluation & Training,"classifier, training, accuracy, model, dataset"
Interactive Sketch Interfaces,"haptics, interaction, user, interface, multimodal"
Semantic Sketch Interpretation,"semantics, understanding, concept, context, domain"
Sketch-Based Image Retrieval,"retrieval, search, query, image, content"
Chirp Spread Spectrum,"chirp, spread, spectrum, css, bandwidth"
Spreading Factor Optimization,"spreading, factor, datarate, range, tradeoff"
Interference and Coexistence,"interference, coexistence, collision, duty-cycle, throughput"
Bit Error Rate Analysis,"ber, snr, fading, channel, analysis"
LoRaWAN Protocol Performance,"lorawan, mac, network, gateway, end-device"
Energy Efficiency in LoRa,"energy, battery, power, consumption, efficiency"
Energy Efficient WSNs,"energy, efficiency, lifetime, power, management"
Sensor Node Localization,"localization, node, positioning, tracking, geographical"
WSN Security and Trust,"security, intrusion, encryption, threat, detection"
In-Network Data Processing,"data, aggregation, compression, processing, storage"
Quality of Service,"quality, service, qos, latency, reliability"
MAC Layer Scheduling,"mac, scheduling, access, collision, medium"
Standard IoT Protocols,"protocol, mqtt, coap, lorawan, http"
IoT Security and Privacy,"security, privacy, authentication, encryption, trust"
Low-Power Wide Area Networks,"low-power, lpwan, energy, efficiency, battery"
IoT Resource Management,"network, resource, allocation, optimization, management"
Edge and Fog Computing,"edge, fog, computing, processing, offloading"
Wireless Sensor Networking,"wireless, sensor, m2m, devices, connectivity"
Low-Power IoT Communication,"lpwan, iot, low-power, sensor, battery"
MAC Layer Efficiency Protocols,"mac, protocol, sleep, wakeup, duty-cycle"
Wireless Resource Optimization,"resource, allocation, scheduling, power, optimization"
Data Center Energy Reduction,"hvac, cooling, data, centers, consumption"
AI for Energy Management,"ai, machine, learning, predictive, management"
Smart Grid Energy Efficiency,"smart, grid, demand, response, utility"
Cloud Resource Management,"cloud, storage, computing, cpu, bandwidth"
Project Resource Planning,"project, management, capacity, planning, workload"
Energy-Efficient Resource Use,"energy, power, consumption, green, sustainability"
Mobile Edge Computation Offloading,"offloading, computation, edge, mobile, latency"
Wireless Resource Allocation Optimization,"resource, allocation, scheduling, wireless, optimization"
Hierarchical Edge-Cloud Architectures,"cloud, fog, edge, hierarchy, deployment"
Content Caching at the Edge,"caching, content, distribution, prefetching, edge"
Federated Learning in Edge Networks,"learning, federated, edge, distributed, training"
Security and Privacy in Edge Computing,"security, privacy, authentication, trust, data"
Chaos-Based Image Encryption,"scrambling, diffusion, permutation, pixel, confusion"
Conventional Encryption Algorithms,"stream, block, cipher, aes, des"
Transform Domain Encryption,"transform, wavelet, fourier, domain, dct"
Image Security Analysis,"security, analysis, histogram, entropy, correlation"
AI in Image Cryptography,"neural, convolutional, network, deep, machine"
DNA-Based Image Cryptography,"dna, rna, nucleotides, sequence, biological"
Encrypted Image Compression,"compression, lossless, jpeg, data, efficiency"
Frequency Domain Analysis,"fft, dft, transform, frequency, analysis"
Digital Filter Design,"convolution, filter, impulse, response, design"
Signal Conversion Principles,"sampling, quantization, aliasing, reconstruction, theorem"
Wavelet Signal Processing,"wavelet, decomposition, multiresolution, compression, denoising"
Audio Signal Processing,"speech, audio, voice, recognition, enhancement"
Spectral Estimation Methods,"estimation, spectral, power, density, periodogram"
Digital Modulation Techniques,"modulation, demodulation, carrier, symbol, techniques"
Channel Coding & Error Control,"channel, coding, error, detection, correction"
Multiple Access and Sharing,"multiplexing, access, multiple, frequency, division"
Wireless Communication Networks,"networks, wireless, cellular, protocols, standards"
Digital Signal Processing,"signal, processing, digital, sampling, filter"
Information Theory Principles,"information, theory, entropy, capacity, shannon"
Channel Impairments and Performance,"fading, interference, noise, channel, performance"
Next-Generation Cellular Networks,"5g, beyond, latency, massive, mimo"
Dynamic Spectrum Management,"spectrum, sensing, cognitive, dynamic, allocation"
IoT and Wireless Sensor Networks,"internet, iot, sensor, energy, network"
Mobile Edge Computing,"edge, computing, mobile, offloading, distributed"
Mobile Network Security,"security, blockchain, framework, threat, encryption"
Resource Allocation Optimization,"resource, optimization, scheduling, power, allocation"
Vehicular Communications (V2X),"vehicle, v2x, d2d, communication, vehicular"
Massive MIMO Systems,"mimo, massive, channel, precoding, diversity"
Cognitive Radio Spectrum Management,"spectrum, cognitive, resource, allocation, interference"
Next-Generation Mobile Networks,"5g, 6g, networks, future, broadband"
Physical Layer Security,"security, encryption, privacy, physical, authentication"
Wireless Channel Modeling,"channel, estimation, equalization, propagation, modeling"
IoT Sensor Networks,"iot, sensor, low-power, lpwan, connectivity"
Advanced Modulation and Coding,"modulation, coding, ofdm, techniques, performance"
MIMO-OFDM Channel Modeling,"mimo, ofdm, wireless, systems, multipath"
LS Channel Estimation Techniques,"least, squares, estimation, pilot-based, performance"
MMSE Estimation Algorithms,"mmse, minimization, error, linear, adaptive"
Deep Learning Channel Estimation,"deep, learning, neural, networks, data-driven"
Sparse Channel Estimation,"compressed, sensing, sparse, channel, recovery"
Blind Channel Estimation Methods,"blind, subspace, hos-based, conventional, data"
Massive MIMO Channel Estimation,"massive, hybrid, millimeter-wave, beamforming, 5g"
Massive MIMO Beamforming,"antenna, massive, beamforming, arrays, spatial"
Channel Estimation Challenges,"channel, estimation, feedback, aging, delay"
Efficiency Optimization in MIMO,"spectral, energy, efficiency, performance, optimization"
Multi-User Interference Mitigation,"multi-user, interference, mitigation, detection, scheduling"
Adaptive Precoding Techniques,"precoding, adaptive, matrix, downlink, uplink"
MmWave MIMO Systems,"millimeter, wave, frequency, propagation, band"
Reconfigurable Intelligent Surfaces,"ris, intelligent, surfaces, reflecting, reconfigurable"
Cooperative Diversity Techniques,"diversity, spatial, fading, channel, combine"
Optimal Relay Selection Schemes,"selection, best, protocol, performance, outage"
Amplify-and-Forward Protocols,"amplify, forward, decode, protocol, information"
Cooperative NOMA Networks,"noma, access, multiple, interference, power"
Resource Allocation Optimization,"resource, allocation, power, spectrum, optimization"
Secure Cooperative Communication,"secure, secrecy, jamming, eavesdropper, physical"
Practical Cooperative Systems,"synchronization, distributed, network, asynchronous, practical"
NOMA Resource Allocation,"power, allocation, user, grouping, optimization"
Successive Interference Cancellation,"successive, interference, cancellation, sic, receiver"
NOMA Performance Enhancement,"spectral, efficiency, massive, connectivity, performance"
NOMA Multiple Access Schemes,"power-domain, code-domain, scma, pdma, techniques"
Channel State Information,"channel, estimation, csi, fading, modeling"
AI for NOMA Optimization,"deep, learning, ai, machine, optimization"
Advanced NOMA System Architectures,"cooperative, relaying, ris, mimo, systems"
Intelligent Reflecting Surfaces,"reconfigurable, surface, intelligent, reflection, metasurface"
RIS Channel Optimization,"channel, estimation, passive, phase, optimization"
Passive Beamforming Arrays,"beamforming, passive, array, gain, direction"
RIS in Wireless Communications,"wireless, communications, mimo, noma, coverage"
Energy Efficient RIS,"energy, efficiency, harvesting, low-power, consumption"
Physical Layer Security,"security, privacy, physical-layer, eavesdropping, encryption"
AI-Driven RIS Control,"reinforcement, learning, ai, control, deep"
Energy Consumption Efficiency,"consumption, efficiency, reduction, management, system"
Optimization Algorithms & Modeling,"algorithms, mathematical, linear, nonlinear, constraints"
Wireless Network Power Allocation,"wireless, transmission, resource, allocation, network"
AI for Power Optimization,"machine, learning, predictive, forecasting, adaptive"
Self-Interference Cancellation Techniques,"self-interference, cancellation, analog, digital, mitigation"
Simultaneous Bidirectional Wireless Communication,"duplex, transmission, simultaneous, bidirectional, wireless"
MIMO Full-Duplex Systems,"mimo, networks, beamforming, massive, spatial"
Full-Duplex Performance Metrics,"throughput, efficiency, spectrum, data, rate"
Full-Duplex Hardware Implementation,"hardware, circuit, integrated, rf, design"
Channel Estimation and Modeling,"channel, estimation, modeling, equalization, propagation"
Antenna Design and Arrays,"antenna, design, radiation, impedance, array"
Microwave and mmWave Circuits,"microwave, frequency, millimeterwave, circuits, waveguide"
Radio Wave Propagation,"propagation, channel, fading, electromagnetic, pathloss"
RF Transceiver Systems,"transmitter, receiver, transceiver, modulation, system"
RF Circuit Components,"lna, mixer, amplifier, oscillator, filter"
RF Power Amplifiers,"power, linearity, efficiency, amplifier, consumption"
RF Characterization and Modeling,"s-parameters, matching, network, measurement, simulation"
Antenna and Array Design,"antenna, array, matching, feed, phased"
Passive Component Modeling,"filter, coupler, splitter, waveguide, resonator"
Active Circuit Design,"amplifier, oscillator, mixer, noise, gain"
Microwave Sensing Systems,"radar, sensing, detection, imaging, system"
Transmission Line Theory,"transmission, line, impedance, microstrip, s-parameters"
Signal Processing Techniques,"fourier, time, frequency, signal, spectrum"
High-Power Microwave Devices,"power, device, semiconductor, gallium, nitride"
Microstrip Patch Antennas,"microstrip, patch, substrate, radiation, impedance"
Antenna Arrays and MIMO,"array, mimo, beamforming, phased, coupling"
Ultrawideband Antenna Systems,"ultrawideband, frequency, bandwidth, impulse, time"
Wearable and Implantable Antennas,"wearable, implantable, flexible, medical, body"
Metamaterial-Based Antenna Structures,"metamaterial, structure, composite, negative, refractive"
Reconfigurable Antenna Design,"reconfigurable, tuning, switch, p-i-n, frequency"
Antenna Theory and Design,"antenna, array, design, radiation, impedance"
RF and Microwave Circuits,"microwave, millimeterwave, circuits, passive, active"
RF Signal Propagation,"signal, propagation, channel, fading, electromagnetic"
RF Power Amplifiers,"amplifier, power, linearization, efficiency, wideband"
RF Filtering and Components,"filter, duplexer, frequency, selectivity, resonator"
Wireless RF Systems,"wireless, communication, systems, receiver, transmitter"
RF Sensing and Radar,"sensing, radar, imaging, remote, detection"
Antenna Array Beamforming,"antenna, array, phased, beamforming, gain"
Microwave Circuit Components,"circuits, devices, passive, active, components"
High-Efficiency Power Amplifiers,"power, amplifier, doherty, efficiency, linearity"
Wireless Communication Systems,"wireless, communication, systems, 5g, satellite"
Substrate Integrated Waveguide Components,"waveguide, substrate, integrated, filter, coupler"
Radar System Design,"radar, systems, duplexer, transmitter, receiver"
Metamaterials and Modeling,"metamaterial, electromagnetic, characterization, modeling, simulation"
Phased Array Beam Steering,"phased, array, beamforming, scanning, elements"
Microstrip Patch Antenna,"microstrip, patch, substrate, fed, resonant"
Dielectric Resonator Antennas,"dielectric, resonator, modes, radiation, efficiency"
Metamaterial Antenna Structures,"metamaterial, unit, cell, surface, negative"
Multiband Antenna Systems,"multiband, wideband, frequency, reconfigurable, tuning"
MIMO Antenna Design,"mimo, multiple, channel, correlation, capacity"
Network Performance Metrics,"bandwidth, throughput, latency, congestion, qos"
Resource Allocation Mechanisms,"allocation, scheduling, fairness, optimization, capacity"
AI for Network Optimization,"machine, learning, reinforcement, predictive, automation"
Energy-Efficient Networking,"energy, consumption, efficiency, green, sustainable"
